Timp scurs: 0ms - Elful 1 este la 345, 34 in fabrica 1
Timp scurs: 805ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 813ms - Elful 1 este la 347, 43 in fabrica 1
Timp scurs: 813ms - Elful 5 este la 333, 200 in fabrica 1
Timp scurs: 813ms - Elful 3 este la 25, 31 in fabrica 3
Timp scurs: 813ms - Elful 4 este la 38, 33 in fabrica 3
Timp scurs: 834ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 834ms - Elful 4 este la 38, 33 in fabrica 3
Timp scurs: 836ms - Elful 1 este la 348, 43 in fabrica 1
Timp scurs: 836ms - Elful 5 este la 333, 200 in fabrica 1
Timp scurs: 836ms - Elful 2 este la 10, 10 in fabrica 2
Timp scurs: 844ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 844ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 844ms - Elful 1 este la 348, 43 in fabrica 1
Timp scurs: 844ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 865ms - Elful 3 este la 24, 30 in fabrica 3
Timp scurs: 865ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 867ms - Elful 1 este la 347, 43 in fabrica 1
Timp scurs: 867ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 867ms - Elful 2 este la 10, 9 in fabrica 2
Timp scurs: 875ms - Elful 1 este la 347, 43 in fabrica 1
Timp scurs: 875ms - Elful 5 este la 332, 199 in fabrica 1
Timp scurs: 875ms - Elful 3 este la 24, 30 in fabrica 3
Timp scurs: 875ms - Elful 4 este la 39, 34 in fabrica 3
Timp scurs: 896ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 896ms - Elful 4 este la 39, 34 in fabrica 3
Timp scurs: 898ms - Elful 1 este la 347, 42 in fabrica 1
Timp scurs: 898ms - Elful 5 este la 332, 199 in fabrica 1
Timp scurs: 898ms - Elful 2 este la 11, 9 in fabrica 2
Timp scurs: 906ms - Elful 1 este la 347, 42 in fabrica 1
Timp scurs: 906ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 906ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 906ms - Elful 4 este la 39, 33 in fabrica 3
Timp scurs: 927ms - Elful 3 este la 25, 29 in fabrica 3
Timp scurs: 927ms - Elful 4 este la 39, 33 in fabrica 3
Timp scurs: 929ms - Elful 2 este la 10, 9 in fabrica 2
Timp scurs: 929ms - Elful 1 este la 347, 41 in fabrica 1
Timp scurs: 929ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 937ms - Elful 3 este la 25, 29 in fabrica 3
Timp scurs: 937ms - Elful 4 este la 38, 33 in fabrica 3
Timp scurs: 937ms - Elful 1 este la 347, 41 in fabrica 1
Timp scurs: 937ms - Elful 5 este la 332, 199 in fabrica 1
Timp scurs: 958ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 958ms - Elful 4 este la 38, 33 in fabrica 3
Timp scurs: 960ms - Elful 2 este la 10, 8 in fabrica 2
Timp scurs: 960ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 960ms - Elful 5 este la 332, 199 in fabrica 1
Timp scurs: 964ms - Elful 6 este la 80, 0 in fabrica 2
Timp scurs: 964ms - Elful 2 este la 10, 8 in fabrica 2
Timp scurs: 964ms - Elful 6 este la 80, 1 in fabrica 2
Timp scurs: 968ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 968ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 968ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 968ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 989ms - Elful 3 este la 25, 29 in fabrica 3
Timp scurs: 989ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 991ms - Elful 2 este la 9, 8 in fabrica 2
Timp scurs: 991ms - Elful 6 este la 80, 1 in fabrica 2
Timp scurs: 991ms - Elful 1 este la 347, 41 in fabrica 1
Timp scurs: 991ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 995ms - Elful 2 este la 9, 8 in fabrica 2
Timp scurs: 995ms - Elful 6 este la 79, 1 in fabrica 2
Timp scurs: 999ms - Elful 3 este la 25, 29 in fabrica 3
Timp scurs: 999ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 999ms - Elful 1 este la 347, 41 in fabrica 1
Timp scurs: 999ms - Elful 5 este la 333, 200 in fabrica 1
Timp scurs: 1019ms - Elful 3 este la 26, 29 in fabrica 3
Timp scurs: 1019ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1021ms - Elful 2 este la 8, 8 in fabrica 2
Timp scurs: 1021ms - Elful 6 este la 79, 1 in fabrica 2
Timp scurs: 1021ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 1021ms - Elful 5 este la 333, 200 in fabrica 1
Timp scurs: 1025ms - Elful 2 este la 8, 8 in fabrica 2
Timp scurs: 1025ms - Elful 6 este la 78, 1 in fabrica 2
Timp scurs: 1029ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 1029ms - Elful 5 este la 334, 200 in fabrica 1
Timp scurs: 1029ms - Elful 3 este la 26, 29 in fabrica 3
Timp scurs: 1029ms - Elful 4 este la 37, 35 in fabrica 3
Timp scurs: 1050ms - Elful 3 este la 26, 30 in fabrica 3
Timp scurs: 1050ms - Elful 4 este la 37, 35 in fabrica 3
Timp scurs: 1052ms - Elful 1 este la 347, 41 in fabrica 1
Timp scurs: 1052ms - Elful 5 este la 334, 200 in fabrica 1
Timp scurs: 1052ms - Elful 2 este la 8, 9 in fabrica 2
Timp scurs: 1052ms - Elful 6 este la 78, 1 in fabrica 2
Timp scurs: 1056ms - Elful 2 este la 8, 9 in fabrica 2
Timp scurs: 1056ms - Elful 6 este la 78, 2 in fabrica 2
Timp scurs: 1060ms - Elful 1 este la 347, 41 in fabrica 1
Timp scurs: 1060ms - Elful 5 este la 334, 201 in fabrica 1
Timp scurs: 1060ms - Elful 3 este la 26, 30 in fabrica 3
Timp scurs: 1060ms - Elful 4 este la 38, 35 in fabrica 3
Timp scurs: 1081ms - Elful 3 este la 26, 29 in fabrica 3
Timp scurs: 1081ms - Elful 4 este la 38, 35 in fabrica 3
Timp scurs: 1083ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 1083ms - Elful 5 este la 334, 201 in fabrica 1
Timp scurs: 1083ms - Elful 2 este la 8, 8 in fabrica 2
Timp scurs: 1083ms - Elful 6 este la 78, 2 in fabrica 2
Timp scurs: 1087ms - Elful 2 este la 8, 8 in fabrica 2
Timp scurs: 1087ms - Elful 6 este la 78, 1 in fabrica 2
Timp scurs: 1091ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 1091ms - Elful 5 este la 334, 200 in fabrica 1
Timp scurs: 1091ms - Elful 3 este la 26, 29 in fabrica 3
Timp scurs: 1091ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 1112ms - Elful 3 este la 25, 29 in fabrica 3
Timp scurs: 1112ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 1114ms - Elful 1 este la 348, 40 in fabrica 1
Timp scurs: 1114ms - Elful 5 este la 334, 200 in fabrica 1
Timp scurs: 1114ms - Elful 2 este la 8, 7 in fabrica 2
Timp scurs: 1114ms - Elful 6 este la 78, 1 in fabrica 2
Timp scurs: 1118ms - Elful 2 este la 8, 7 in fabrica 2
Timp scurs: 1118ms - Elful 6 este la 79, 1 in fabrica 2
Timp scurs: 1122ms - Elful 3 este la 25, 29 in fabrica 3
Timp scurs: 1122ms - Elful 4 este la 39, 34 in fabrica 3
Timp scurs: 1122ms - Elful 1 este la 348, 40 in fabrica 1
Timp scurs: 1122ms - Elful 5 este la 334, 199 in fabrica 1
Timp scurs: 1143ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 1143ms - Elful 4 este la 39, 34 in fabrica 3
Timp scurs: 1145ms - Elful 2 este la 8, 8 in fabrica 2
Timp scurs: 1145ms - Elful 6 este la 79, 1 in fabrica 2
Timp scurs: 1145ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 1145ms - Elful 5 este la 334, 199 in fabrica 1
Timp scurs: 1149ms - Elful 2 este la 8, 8 in fabrica 2
Timp scurs: 1149ms - Elful 6 este la 78, 1 in fabrica 2
Timp scurs: 1153ms - Elful 3 este la 25, 30 in fabrica 3
Timp scurs: 1153ms - Elful 4 este la 39, 35 in fabrica 3
Timp scurs: 1153ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 1153ms - Elful 5 este la 333, 199 in fabrica 1
Timp scurs: 1174ms - Elful 3 este la 24, 30 in fabrica 3
Timp scurs: 1174ms - Elful 4 este la 39, 35 in fabrica 3
Timp scurs: 1176ms - Elful 2 este la 9, 8 in fabrica 2
Timp scurs: 1176ms - Elful 6 este la 78, 1 in fabrica 2
Timp scurs: 1176ms - Elful 1 este la 349, 41 in fabrica 1
Timp scurs: 1176ms - Elful 5 este la 333, 199 in fabrica 1
Timp scurs: 1180ms - Elful 2 este la 9, 8 in fabrica 2
Timp scurs: 1180ms - Elful 6 este la 79, 1 in fabrica 2
Timp scurs: 1184ms - Elful 1 este la 349, 41 in fabrica 1
Timp scurs: 1184ms - Elful 5 este la 332, 199 in fabrica 1
Timp scurs: 1184ms - Elful 3 este la 24, 30 in fabrica 3
Timp scurs: 1184ms - Elful 4 este la 38, 35 in fabrica 3
Timp scurs: 1205ms - Elful 3 este la 24, 29 in fabrica 3
Timp scurs: 1205ms - Elful 4 este la 38, 35 in fabrica 3
Timp scurs: 1207ms - Elful 2 este la 10, 8 in fabrica 2
Timp scurs: 1207ms - Elful 6 este la 79, 1 in fabrica 2
Timp scurs: 1207ms - Elful 1 este la 349, 40 in fabrica 1
Timp scurs: 1207ms - Elful 5 este la 332, 199 in fabrica 1
Timp scurs: 1211ms - Elful 2 este la 10, 8 in fabrica 2
Timp scurs: 1211ms - Elful 6 este la 80, 1 in fabrica 2
Timp scurs: 1215ms - Elful 3 este la 24, 29 in fabrica 3
Timp scurs: 1215ms - Elful 4 este la 39, 35 in fabrica 3
Timp scurs: 1215ms - Elful 1 este la 349, 40 in fabrica 1
Timp scurs: 1215ms - Elful 5 este la 331, 199 in fabrica 1
Timp scurs: 1236ms - Elful 3 este la 24, 28 in fabrica 3
Timp scurs: 1236ms - Elful 4 este la 39, 35 in fabrica 3
Timp scurs: 1238ms - Elful 1 este la 350, 40 in fabrica 1
Timp scurs: 1238ms - Elful 5 este la 331, 199 in fabrica 1
Timp scurs: 1238ms - Elful 2 este la 11, 8 in fabrica 2
Timp scurs: 1238ms - Elful 6 este la 80, 1 in fabrica 2
Timp scurs: 1242ms - Elful 2 este la 11, 8 in fabrica 2
Timp scurs: 1242ms - Elful 6 este la 81, 1 in fabrica 2
Timp scurs: 1246ms - Elful 1 este la 350, 40 in fabrica 1
Timp scurs: 1246ms - Elful 5 este la 331, 198 in fabrica 1
Timp scurs: 1246ms - Elful 3 este la 24, 28 in fabrica 3
Timp scurs: 1246ms - Elful 4 este la 38, 35 in fabrica 3
Timp scurs: 1267ms - Elful 3 este la 24, 27 in fabrica 3
Timp scurs: 1267ms - Elful 4 este la 38, 35 in fabrica 3
Timp scurs: 1269ms - Elful 1 este la 349, 40 in fabrica 1
Timp scurs: 1269ms - Elful 5 este la 331, 198 in fabrica 1
Timp scurs: 1269ms - Elful 2 este la 10, 8 in fabrica 2
Timp scurs: 1269ms - Elful 6 este la 81, 1 in fabrica 2
Timp scurs: 1273ms - Elful 2 este la 10, 8 in fabrica 2
Timp scurs: 1273ms - Elful 6 este la 80, 1 in fabrica 2
Timp scurs: 1277ms - Elful 3 este la 24, 27 in fabrica 3
Timp scurs: 1277ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 1277ms - Elful 1 este la 349, 40 in fabrica 1
Timp scurs: 1277ms - Elful 5 este la 332, 198 in fabrica 1
Timp scurs: 1298ms - Elful 3 este la 23, 27 in fabrica 3
Timp scurs: 1298ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 1300ms - Elful 1 este la 350, 40 in fabrica 1
Timp scurs: 1300ms - Elful 5 este la 332, 198 in fabrica 1
Timp scurs: 1300ms - Elful 2 este la 11, 8 in fabrica 2
Timp scurs: 1300ms - Elful 6 este la 80, 1 in fabrica 2
Timp scurs: 1304ms - Elful 2 este la 11, 8 in fabrica 2
Timp scurs: 1304ms - Elful 6 este la 81, 1 in fabrica 2
Timp scurs: 1308ms - Elful 1 este la 350, 40 in fabrica 1
Timp scurs: 1308ms - Elful 5 este la 332, 197 in fabrica 1
Timp scurs: 1308ms - Elful 3 este la 23, 27 in fabrica 3
Timp scurs: 1308ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1329ms - Elful 3 este la 22, 27 in fabrica 3
Timp scurs: 1329ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1331ms - Elful 2 este la 11, 7 in fabrica 2
Timp scurs: 1331ms - Elful 6 este la 81, 1 in fabrica 2
Timp scurs: 1331ms - Elful 1 este la 349, 40 in fabrica 1
Timp scurs: 1331ms - Elful 5 este la 332, 197 in fabrica 1
Timp scurs: 1335ms - Elful 2 este la 11, 7 in fabrica 2
Timp scurs: 1335ms - Elful 6 este la 81, 2 in fabrica 2
Timp scurs: 1339ms - Elful 1 este la 349, 40 in fabrica 1
Timp scurs: 1339ms - Elful 5 este la 333, 197 in fabrica 1
Timp scurs: 1339ms - Elful 3 este la 22, 27 in fabrica 3
Timp scurs: 1339ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 1360ms - Elful 3 este la 22, 26 in fabrica 3
Timp scurs: 1360ms - Elful 4 este la 38, 34 in fabrica 3
Timp scurs: 1362ms - Elful 1 este la 349, 39 in fabrica 1
Timp scurs: 1362ms - Elful 5 este la 333, 197 in fabrica 1
Timp scurs: 1362ms - Elful 2 este la 11, 6 in fabrica 2
Timp scurs: 1362ms - Elful 6 este la 81, 2 in fabrica 2
Timp scurs: 1366ms - Elful 2 este la 11, 6 in fabrica 2
Timp scurs: 1366ms - Elful 6 este la 81, 1 in fabrica 2
Timp scurs: 1370ms - Elful 3 este la 22, 26 in fabrica 3
Timp scurs: 1370ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1370ms - Elful 1 este la 349, 39 in fabrica 1
Timp scurs: 1370ms - Elful 5 este la 332, 197 in fabrica 1
Timp scurs: 1390ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1390ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1392ms - Elful 1 este la 350, 39 in fabrica 1
Timp scurs: 1392ms - Elful 5 este la 332, 197 in fabrica 1
Timp scurs: 1392ms - Elful 2 este la 12, 6 in fabrica 2
Timp scurs: 1392ms - Elful 6 este la 81, 1 in fabrica 2
Timp scurs: 1396ms - Elful 2 este la 12, 6 in fabrica 2
Timp scurs: 1396ms - Elful 6 este la 82, 1 in fabrica 2
Timp scurs: 1400ms - Elful 1 este la 350, 39 in fabrica 1
Timp scurs: 1400ms - Elful 5 este la 333, 197 in fabrica 1
Timp scurs: 1400ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1400ms - Elful 4 este la 37, 35 in fabrica 3
Timp scurs: 1421ms - Elful 3 este la 21, 27 in fabrica 3
Timp scurs: 1421ms - Elful 4 este la 37, 35 in fabrica 3
Timp scurs: 1423ms - Elful 1 este la 350, 38 in fabrica 1
Timp scurs: 1423ms - Elful 5 este la 333, 197 in fabrica 1
Timp scurs: 1423ms - Elful 2 este la 13, 6 in fabrica 2
Timp scurs: 1423ms - Elful 6 este la 82, 1 in fabrica 2
Timp scurs: 1427ms - Elful 2 este la 13, 6 in fabrica 2
Timp scurs: 1427ms - Elful 6 este la 83, 1 in fabrica 2
Timp scurs: 1431ms - Elful 1 este la 350, 38 in fabrica 1
Timp scurs: 1431ms - Elful 5 este la 332, 197 in fabrica 1
Timp scurs: 1431ms - Elful 3 este la 21, 27 in fabrica 3
Timp scurs: 1431ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1452ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1452ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1454ms - Elful 2 este la 13, 5 in fabrica 2
Timp scurs: 1454ms - Elful 6 este la 83, 1 in fabrica 2
Timp scurs: 1454ms - Elful 1 este la 350, 39 in fabrica 1
Timp scurs: 1454ms - Elful 5 este la 332, 197 in fabrica 1
Timp scurs: 1458ms - Elful 2 este la 13, 5 in fabrica 2
Timp scurs: 1458ms - Elful 6 este la 82, 1 in fabrica 2
Timp scurs: 1462ms - Elful 1 este la 350, 39 in fabrica 1
Timp scurs: 1462ms - Elful 5 este la 333, 197 in fabrica 1
Timp scurs: 1462ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1462ms - Elful 4 este la 37, 35 in fabrica 3
Timp scurs: 1483ms - Elful 3 este la 21, 25 in fabrica 3
Timp scurs: 1483ms - Elful 4 este la 37, 35 in fabrica 3
Timp scurs: 1485ms - Elful 2 este la 13, 6 in fabrica 2
Timp scurs: 1485ms - Elful 6 este la 82, 1 in fabrica 2
Timp scurs: 1485ms - Elful 1 este la 350, 38 in fabrica 1
Timp scurs: 1485ms - Elful 5 este la 333, 197 in fabrica 1
Timp scurs: 1489ms - Elful 2 este la 13, 6 in fabrica 2
Timp scurs: 1489ms - Elful 6 este la 83, 1 in fabrica 2
Timp scurs: 1493ms - Elful 3 este la 21, 25 in fabrica 3
Timp scurs: 1493ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1493ms - Elful 1 este la 350, 38 in fabrica 1
Timp scurs: 1493ms - Elful 5 este la 333, 196 in fabrica 1
Timp scurs: 1514ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1514ms - Elful 4 este la 37, 34 in fabrica 3
Timp scurs: 1516ms - Elful 1 este la 350, 37 in fabrica 1
Timp scurs: 1516ms - Elful 5 este la 333, 196 in fabrica 1
Timp scurs: 1516ms - Elful 2 este la 14, 6 in fabrica 2
Timp scurs: 1516ms - Elful 6 este la 83, 1 in fabrica 2
Timp scurs: 1520ms - Elful 2 este la 14, 6 in fabrica 2
Timp scurs: 1520ms - Elful 6 este la 83, 2 in fabrica 2
Timp scurs: 1524ms - Elful 1 este la 350, 37 in fabrica 1
Timp scurs: 1524ms - Elful 5 este la 333, 195 in fabrica 1
Timp scurs: 1524ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1524ms - Elful 4 este la 36, 34 in fabrica 3
Timp scurs: 1539ms - Elful 7 este la 119, 310 in fabrica 1
Timp scurs: 1539ms - Elful 1 este la 350, 37 in fabrica 1
Timp scurs: 1539ms - Elful 5 este la 333, 195 in fabrica 1
Timp scurs: 1539ms - Elful 7 este la 118, 310 in fabrica 1
Timp scurs: 1545ms - Elful 3 este la 22, 26 in fabrica 3
Timp scurs: 1545ms - Elful 4 este la 36, 34 in fabrica 3
Timp scurs: 1547ms - Elful 1 este la 349, 37 in fabrica 1
Timp scurs: 1547ms - Elful 5 este la 333, 195 in fabrica 1
Timp scurs: 1547ms - Elful 7 este la 118, 310 in fabrica 1
Timp scurs: 1547ms - Elful 2 este la 13, 6 in fabrica 2
Timp scurs: 1547ms - Elful 6 este la 83, 2 in fabrica 2
Timp scurs: 1551ms - Elful 2 este la 13, 6 in fabrica 2
Timp scurs: 1551ms - Elful 6 este la 82, 2 in fabrica 2
Timp scurs: 1555ms - Elful 3 este la 22, 26 in fabrica 3
Timp scurs: 1555ms - Elful 4 este la 35, 34 in fabrica 3
Timp scurs: 1555ms - Elful 1 este la 349, 37 in fabrica 1
Timp scurs: 1555ms - Elful 5 este la 334, 195 in fabrica 1
Timp scurs: 1555ms - Elful 7 este la 118, 310 in fabrica 1
Timp scurs: 1570ms - Elful 1 este la 349, 37 in fabrica 1
Timp scurs: 1570ms - Elful 5 este la 334, 195 in fabrica 1
Timp scurs: 1570ms - Elful 7 este la 117, 310 in fabrica 1
Timp scurs: 1576ms - Elful 3 este la 21, 26 in fabrica 3
Timp scurs: 1576ms - Elful 4 este la 35, 34 in fabrica 3
Timp scurs: 1578ms - Elful 1 este la 349, 36 in fabrica 1
Timp scurs: 1578ms - Elful 5 este la 334, 195 in fabrica 1
Timp scurs: 1578ms - Elful 7 este la 117, 310 in fabrica 1
Timp scurs: 1578ms - Elful 2 este la 13, 7 in fabrica 2
Timp scurs: 1578ms - Elful 6 este la 82, 2 in fabrica 2
Timp scurs: 1582ms - Elful 2 este la 13, 7 in fabrica 2
